n,seconds
1,0.0000104000
2,0.0000044000
3,0.0000057000
4,0.0000128000
5,0.0000283000
6,0.0000642000
7,0.0002197000
8,0.0004029000
9,0.0006869000
10,0.0013727000
11,0.0027389000
12,0.0059661000
13,0.0124318000
14,0.0273997000
15,0.0591751000
16,0.1185821000
17,0.2492218010
18,0.5179612000
19,1.1559254010
20,2.3402513040
21,4.8352848080
22,9.7019497560
23,19.6138547700
24,41.1756089540
25,82.8359869350
